bookId,type,pageNum,publisher,dates,title,isbn,language,characters,settings,litAwards,coverUrl
0,Paperback,417,Rutherford Group,"July 19, 2008",Metrics Agent,1234567890435,Italian,Katherine Lakin,"London, United Kindom",Edgar Awards 2016,https://s3.amazonaws.com/uifaces/faces/twitter/sangdth/128.jpg
1,Kindle,445,Swaniawski Inc,"January 20, 1994",parallelism,1234567890489,Spanish,"Arianna Hackett, Angelica Herzog PhD","Moscow, Russia",Man Booker Prize 2009,https://s3.amazonaws.com/uifaces/faces/twitter/dhilipsiva/128.jpg
2,Audio,441,Lueilwitz and Sons,"April 12, 1988",Focused Concrete,1234567890444,English,Mr. Linnie Lubowitz,"London, United Kindom",,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
3,Hardcover,390,Lueilwitz and Sons,"October 18, 1977",Checking Account payment Personal Loan Account,1234567890491,French,"Miss Amber Kassulke, Conner Murphy, Bert Runte","London, United Kindom","Hugo Award 2014, Pulitzer Prize 2012",https://s3.amazonaws.com/uifaces/faces/twitter/r_garcia/128.jpg
4,Kindle,385,Rutherford Group,"October 10, 1988",deposit,1234567890453,Spanish,"Miss Cole Cronin, Keyon Bayer, Ms. Ashtyn Collier","New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
0,Audio,420,Baumbach Inc,"March 19, 2016",North Carolina Implementation New York,1234567890469,Spanish,"Bria Braun, Evie Tremblay, Mortimer Stokes","Moscow, Russia","Pulitzer Prize 2012, Edgar Awards 2016",https://s3.amazonaws.com/uifaces/faces/twitter/dhilipsiva/128.jpg
1,Audio,363,Baumbach Inc,"July 17, 2012",compress Sleek Concrete Salad Pants,1234567890441,English,"Donna Runolfsdottir, Kay Wiegand","Moscow, Russia","Man Booker Prize 2009, Pulitzer Prize 2012",https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
2,Hardcover,428,Baumbach Inc,"April 20, 1988",Prairie,1234567890444,French,"Mrs. Bernadine Ondricka, Mrs. Evan Jakubowski","London, United Kindom","Hugo Award 2014, Hugo Award 2014",https://s3.amazonaws.com/uifaces/faces/twitter/dhilipsiva/128.jpg
3,Audio,432,Baumbach Inc,"May 20, 2012",Health Concrete,1234567890410,French,"Vincenza Stokes, Kaylin Hand, Dr. Lourdes Jenkins","New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/kohette/128.jpg
4,Paperback,414,Baumbach Inc,"April 22, 2010",Ergonomic,1234567890358,Spanish,"Morton Stoltenberg III, Desmond Stiedemann","London, United Kindom","Man Booker Prize 2009, Pulitzer Prize 2012",https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
0,Kindle,373,Lueilwitz and Sons,"October 13, 1979",time-frame transmitter Libyan Dinar,1234567890425,English,Willow Johnston,"London, United Kindom",,https://s3.amazonaws.com/uifaces/faces/twitter/kohette/128.jpg
1,Paperback,433,Rutherford Group,"November 15, 2005",Fully-configurable,1234567890358,English,Guadalupe Grant,"New York, USA",Pulitzer Prize 2012,https://s3.amazonaws.com/uifaces/faces/twitter/r_garcia/128.jpg
2,Kindle,398,Baumbach Inc,"May 18, 2011",disintermediate,1234567890454,English,"Fernando Will, Micah Hilpert","Moscow, Russia",Hugo Award 2014,https://s3.amazonaws.com/uifaces/faces/twitter/fronx/128.jpg
3,Kindle,422,Rutherford Group,"March 14, 2007",Personal Loan Account online,1234567890431,English,"Mitchel Metz, Asa Greenholt","Moscow, Russia",Pulitzer Prize 2012,https://s3.amazonaws.com/uifaces/faces/twitter/hafeeskhan/128.jpg
4,Hardcover,416,Rutherford Group,"July 14, 2007",Tenge brand Louisiana,1234567890452,Italian,"Mireille Ryan, Bette Huel, Leland Bruen","Moscow, Russia",,https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
0,Hardcover,391,Swaniawski Inc,"April 15, 2014",salmon withdrawal Tuna,1234567890466,Italian,"Terence Goldner, Dr. Mariana Cassin, Neal Bahringer","Moscow, Russia","Costa Book Awards 2013, Man Booker Prize 2009",https://s3.amazonaws.com/uifaces/faces/twitter/kohette/128.jpg
1,Audio,414,Swaniawski Inc,"July 11, 2009",Handmade Soft Mouse,1234567890432,Italian,"Mr. Maureen Conroy, Salvatore Welch, Aaron Wolf","Moscow, Russia",,https://s3.amazonaws.com/uifaces/faces/twitter/sangdth/128.jpg
